name,value,network
R_V1_ROI,0.00709640301239,Visual1
R_MST_ROI,-0.019770473449888,Visual2
R_V6_ROI,-0.019131025399931,Visual2
R_V2_ROI,-0.008327891860221,Visual2
R_V3_ROI,-0.000472997384382,Visual2
R_V4_ROI,0.011645149102212,Visual2
R_V8_ROI,-0.014823077828481,Visual2
R_4_ROI,4.48039652677134E-07,Somatomotor
R_3b_ROI,-0.003714663809734,Somatomotor
R_FEF_ROI,0.01413592352972,Cingulo-Opercular
R_PEF_ROI,0.009831225682073,Cingulo-Opercular
R_55b_ROI,-0.013302439046423,Language
R_V3A_ROI,-0.011640144095914,Visual2
R_RSC_ROI,0.023819618406701,Frontoparietal
R_POS2_ROI,0.010342971573383,Frontoparietal
R_V7_ROI,-0.026623650153592,Visual2
R_IPS1_ROI,0.029095347802911,Visual2
R_FFC_ROI,0.030716511048472,Visual2
R_V3B_ROI,-0.012320248063809,Visual2
R_LO1_ROI,0.03602202471974,Visual2
R_LO2_ROI,0.012849456324631,Visual2
R_PIT_ROI,-0.020181182202015,Visual2
R_MT_ROI,-0.018765118176638,Visual2
R_A1_ROI,0.000202337062656,Auditory
R_PSL_ROI,-0.017794054047958,Cingulo-Opercular
R_SFL_ROI,-0.023586453444579,Language
R_PCV_ROI,-0.027252452282318,Posterior_Multimodal
R_STV_ROI,-0.014719051570997,Posterior_Multimodal
R_7Pm_ROI,-0.003632905941878,Frontoparietal
R_7m_ROI,0.010429530024179,Default
R_POS1_ROI,0.011288216381818,Default
R_23d_ROI,0.000589115747968,Default
R_v23ab_ROI,-0.021356587516609,Default
R_d23ab_ROI,-0.005216537016969,Default
R_31pv_ROI,0.004107673385319,Default
R_5m_ROI,0.015249877985371,Somatomotor
R_5mv_ROI,-0.006893124999331,Cingulo-Opercular
R_23c_ROI,-0.002500232468642,Cingulo-Opercular
R_5L_ROI,0.014502118455661,Somatomotor
R_24dd_ROI,0.008011073560562,Somatomotor
R_24dv_ROI,0.002921323379022,Somatomotor
R_7AL_ROI,0.006836288575999,Somatomotor
R_SCEF_ROI,-0.003626207774798,Cingulo-Opercular
R_6ma_ROI,-0.006592958380684,Cingulo-Opercular
R_7Am_ROI,-0.011789758367461,Cingulo-Opercular
